query_id	doc_id		doc_score_a
1		486		7
1		51		6
1		329		6
1		576		6
1		12		5
1		14		5
1		573		5
1		878		5
1		1263		5
1		1268		5
1		78		4
1		110		4
1		141		4
1		172		4
1		184		4
1		195		4
1		252		4
1		293		4
1		315		4
1		328		4
1		364		4
1		435		4
1		453		4
1		572		4
1		625		4
1		629		4
1		663		4
1		665		4
1		746		4
1		747		4
1		792		4
1		876		4
1		1003		4
1		1147		4
1		1244		4
1		1246		4
1		1300		4
1		2		3
1		13		3
1		24		3
1		25		3
1		29		3
1		36		3
1		82		3
1		84		3
1		85		3
1		89		3
1		92		3
1		101		3
1		142		3
1		160		3
1		169		3
1		193		3
1		202		3
1		204		3
1		209		3
1		216		3
1		219		3
1		240		3
1		244		3
1		262		3
1		263		3
1		272		3
1		280		3
1		283		3
1		292		3
1		302		3
1		305		3
1		309		3
1		311		3
1		332		3
1		345		3
1		352		3
1		374		3
1		378		3
1		406		3
1		416		3
1		466		3
1		476		3
1		481		3
1		493		3
1		519		3
1		520		3
1		522		3
1		526		3
1		552		3
1		565		3
1		588		3
1		601		3
1		606		3
1		638		3
1		640		3
1		658		3
1		675		3
1		685		3
1		707		3
1		711		3
1		717		3
1		719		3
1		721		3
1		729		3
1		757		3
1		798		3
1		799		3
1		811		3
1		879		3
1		908		3
1		917		3
1		927		3
1		944		3
1		982		3
1		991		3
1		1040		3
1		1051		3
1		1072		3
1		1101		3
1		1110		3
1		1144		3
1		1155		3
1		1180		3
1		1198		3
1		1218		3
1		1219		3
1		1250		3
1		1255		3
1		1282		3
1		1305		3
1		1313		3
1		1315		3
1		1328		3
1		1335		3
1		1361		3
1		1380		3
1		20		2
1		23		2
1		27		2
1		28		2
1		30		2
1		33		2
1		34		2
1		38		2
1		44		2
1		45		2
1		50		2
1		52		2
1		53		2
1		56		2
1		58		2
1		62		2
1		67		2
1		69		2
1		72		2
1		73		2
1		75		2
1		77		2
1		80		2
1		94		2
1		95		2
1		96		2
1		97		2
1		102		2
1		103		2
1		104		2
1		120		2
1		123		2
1		124		2
1		144		2
1		152		2
1		156		2
1		163		2
1		165		2
1		168		2
1		170		2
1		174		2
1		177		2
1		187		2
1		197		2
1		198		2
1		203		2
1		206		2
1		211		2
1		212		2
1		214		2
1		220		2
1		225		2
1		229		2
1		235		2
1		245		2
1		251		2
1		253		2
1		267		2
1		274		2
1		288		2
1		294		2
1		296		2
1		297		2
1		300		2
1		304		2
1		306		2
1		314		2
1		316		2
1		321		2
1		334		2
1		338		2
1		342		2
1		349		2
1		353		2
1		354		2
1		359		2
1		366		2
1		370		2
1		373		2
1		391		2
1		395		2
1		410		2
1		414		2
1		415		2
1		421		2
1		429		2
1		430		2
1		431		2
1		436		2
1		438		2
1		441		2
1		447		2
1		455		2
1		456		2
1		464		2
1		491		2
1		495		2
1		497		2
1		502		2
1		513		2
1		536		2
1		538		2
1		540		2
1		542		2
1		546		2
1		549		2
1		553		2
1		560		2
1		564		2
1		566		2
1		571		2
1		574		2
1		578		2
1		584		2
1		585		2
1		589		2
1		592		2
1		593		2
1		603		2
1		620		2
1		623		2
1		624		2
1		628		2
1		630		2
1		634		2
1		635		2
1		637		2
1		645		2
1		655		2
1		666		2
1		667		2
1		670		2
1		672		2
1		681		2
1		683		2
1		686		2
1		690		2
1		695		2
1		700		2
1		701		2
1		704		2
1		709		2
1		712		2
1		724		2
1		726		2
1		755		2
1		759		2
1		767		2
1		773		2
1		781		2
1		790		2
1		795		2
1		800		2
1		801		2
1		812		2
1		815		2
1		859		2
1		860		2
1		865		2
1		870		2
1		871		2
1		874		2
1		875		2
1		880		2
1		886		2
1		904		2
1		914		2
1		916		2
1		923		2
1		925		2
1		941		2
1		945		2
1		962		2
1		966		2
1		976		2
1		979		2
1		981		2
1		986		2
1		987		2
1		998		2
1		1002		2
1		1007		2
1		1012		2
1		1034		2
1		1037		2
1		1042		2
1		1043		2
1		1061		2
1		1063		2
1		1064		2
1		1066		2
1		1074		2
1		1077		2
1		1087		2
1		1088		2
1		1089		2
1		1098		2
1		1104		2
1		1106		2
1		1111		2
1		1113		2
1		1114		2
1		1124		2
1		1125		2
1		1140		2
1		1149		2
1		1151		2
1		1158		2
1		1161		2
1		1163		2
1		1167		2
1		1169		2
1		1170		2
1		1181		2
1		1184		2
1		1186		2
1		1191		2
1		1194		2
1		1200		2
1		1202		2
1		1205		2
1		1212		2
1		1213		2
1		1215		2
1		1224		2
1		1225		2
1		1226		2
1		1236		2
1		1239		2
1		1260		2
1		1271		2
1		1279		2
1		1280		2
1		1281		2
1		1295		2
1		1303		2
1		1310		2
1		1321		2
1		1325		2
1		1336		2
1		1338		2
1		1339		2
1		1340		2
1		1346		2
1		1347		2
1		1362		2
1		1366		2
1		1374		2
1		1375		2
1		1391		2
1		1393		2
1		5		1
1		6		1
1		7		1
1		9		1
1		11		1
1		19		1
1		21		1
1		22		1
1		32		1
1		35		1
1		37		1
1		40		1
1		41		1
1		42		1
1		47		1
1		49		1
1		54		1
1		55		1
1		57		1
1		60		1
1		61		1
1		66		1
1		68		1
1		70		1
1		71		1
1		74		1
1		76		1
1		79		1
1		81		1
1		83		1
1		88		1
1		90		1
1		91		1
1		98		1
1		100		1
1		107		1
1		108		1
1		114		1
1		118		1
1		119		1
1		121		1
1		122		1
1		125		1
1		128		1
1		129		1
1		131		1
1		135		1
1		139		1
1		140		1
1		145		1
1		146		1
1		147		1
1		154		1
1		157		1
1		158		1
1		159		1
1		164		1
1		166		1
1		173		1
1		176		1
1		179		1
1		180		1
1		181		1
1		183		1
1		185		1
1		189		1
1		192		1
1		199		1
1		201		1
1		205		1
1		208		1
1		213		1
1		215		1
1		217		1
1		218		1
1		222		1
1		223		1
1		226		1
1		227		1
1		230		1
1		232		1
1		236		1
1		237		1
1		238		1
1		239		1
1		242		1
1		243		1
1		248		1
1		255		1
1		260		1
1		261		1
1		264		1
1		268		1
1		269		1
1		270		1
1		284		1
1		285		1
1		287		1
1		295		1
1		303		1
1		307		1
1		308		1
1		310		1
1		319		1
1		325		1
1		327		1
1		331		1
1		333		1
1		335		1
1		339		1
1		343		1
1		344		1
1		347		1
1		348		1
1		350		1
1		358		1
1		360		1
1		369		1
1		371		1
1		375		1
1		380		1
1		383		1
1		387		1
1		388		1
1		390		1
1		396		1
1		397		1
1		398		1
1		399		1
1		401		1
1		404		1
1		407		1
1		413		1
1		417		1
1		420		1
1		423		1
1		433		1
1		437		1
1		439		1
1		440		1
1		442		1
1		443		1
1		445		1
1		446		1
1		449		1
1		452		1
1		462		1
1		463		1
1		465		1
1		468		1
1		472		1
1		473		1
1		474		1
1		485		1
1		489		1
1		490		1
1		494		1
1		499		1
1		500		1
1		506		1
1		508		1
1		509		1
1		511		1
1		516		1
1		518		1
1		524		1
1		525		1
1		529		1
1		530		1
1		539		1
1		541		1
1		543		1
1		547		1
1		548		1
1		550		1
1		554		1
1		555		1
1		559		1
1		562		1
1		563		1
1		567		1
1		568		1
1		569		1
1		570		1
1		575		1
1		577		1
1		579		1
1		580		1
1		581		1
1		582		1
1		583		1
1		586		1
1		587		1
1		591		1
1		600		1
1		602		1
1		604		1
1		605		1
1		615		1
1		618		1
1		621		1
1		626		1
1		631		1
1		632		1
1		633		1
1		636		1
1		641		1
1		643		1
1		646		1
1		649		1
1		651		1
1		656		1
1		657		1
1		660		1
1		661		1
1		662		1
1		668		1
1		671		1
1		673		1
1		676		1
1		677		1
1		679		1
1		682		1
1		687		1
1		689		1
1		698		1
1		699		1
1		702		1
1		703		1
1		708		1
1		710		1
1		713		1
1		714		1
1		715		1
1		720		1
1		722		1
1		725		1
1		728		1
1		733		1
1		739		1
1		740		1
1		751		1
1		754		1
1		756		1
1		758		1
1		762		1
1		764		1
1		774		1
1		776		1
1		783		1
1		784		1
1		789		1
1		791		1
1		794		1
1		796		1
1		797		1
1		804		1
1		805		1
1		808		1
1		810		1
1		814		1
1		816		1
1		817		1
1		818		1
1		822		1
1		824		1
1		826		1
1		834		1
1		836		1
1		838		1
1		858		1
1		861		1
1		862		1
1		869		1
1		872		1
1		873		1
1		877		1
1		882		1
1		883		1
1		884		1
1		888		1
1		894		1
1		896		1
1		899		1
1		900		1
1		903		1
1		909		1
1		911		1
1		912		1
1		918		1
1		919		1
1		921		1
1		924		1
1		928		1
1		937		1
1		939		1
1		946		1
1		947		1
1		948		1
1		951		1
1		959		1
1		960		1
1		961		1
1		963		1
1		964		1
1		968		1
1		972		1
1		973		1
1		974		1
1		975		1
1		978		1
1		980		1
1		983		1
1		990		1
1		994		1
1		997		1
1		999		1
1		1000		1
1		1001		1
1		1004		1
1		1008		1
1		1011		1
1		1015		1
1		1020		1
1		1026		1
1		1027		1
1		1028		1
1		1048		1
1		1050		1
1		1056		1
1		1059		1
1		1062		1
1		1065		1
1		1071		1
1		1073		1
1		1081		1
1		1084		1
1		1090		1
1		1091		1
1		1093		1
1		1095		1
1		1096		1
1		1097		1
1		1099		1
1		1100		1
1		1103		1
1		1107		1
1		1115		1
1		1121		1
1		1128		1
1		1134		1
1		1143		1
1		1153		1
1		1154		1
1		1157		1
1		1159		1
1		1160		1
1		1162		1
1		1164		1
1		1165		1
1		1166		1
1		1168		1
1		1175		1
1		1177		1
1		1178		1
1		1179		1
1		1183		1
1		1185		1
1		1192		1
1		1195		1
1		1196		1
1		1197		1
1		1199		1
1		1201		1
1		1203		1
