query_id	doc_id		doc_score_b
1		51		26
1		874		22
1		486		18
1		329		16
1		1268		15
1		792		14
1		12		13
1		435		13
1		1263		13
1		1328		13
1		193		12
1		114		11
1		252		11
1		315		11
1		522		11
1		564		11
1		576		11
1		588		11
1		717		11
1		876		11
1		982		11
1		1144		11
1		1147		11
1		13		10
1		56		10
1		82		10
1		101		10
1		156		10
1		158		10
1		272		10
1		685		10
1		25		9
1		184		9
1		283		9
1		294		9
1		395		9
1		606		9
1		662		9
1		707		9
1		962		9
1		976		9
1		1040		9
1		1097		9
1		1104		9
1		1226		9
1		14		8
1		29		8
1		240		8
1		328		8
1		359		8
1		493		8
1		623		8
1		686		8
1		712		8
1		798		8
1		878		8
1		1149		8
1		1341		8
1		49		7
1		62		7
1		77		7
1		172		7
1		244		7
1		253		7
1		262		7
1		332		7
1		364		7
1		453		7
1		542		7
1		554		7
1		566		7
1		571		7
1		572		7
1		635		7
1		638		7
1		747		7
1		799		7
1		800		7
1		1164		7
1		1169		7
1		1207		7
1		1213		7
1		1393		7
1		5		6
1		78		6
1		100		6
1		102		6
1		141		6
1		142		6
1		144		6
1		214		6
1		216		6
1		280		6
1		300		6
1		378		6
1		431		6
1		526		6
1		546		6
1		555		6
1		573		6
1		658		6
1		665		6
1		746		6
1		811		6
1		872		6
1		873		6
1		944		6
1		986		6
1		1098		6
1		1191		6
1		1201		6
1		1244		6
1		1300		6
1		24		5
1		33		5
1		45		5
1		52		5
1		69		5
1		80		5
1		92		5
1		94		5
1		120		5
1		123		5
1		135		5
1		164		5
1		185		5
1		195		5
1		197		5
1		202		5
1		204		5
1		209		5
1		219		5
1		274		5
1		293		5
1		302		5
1		316		5
1		414		5
1		423		5
1		540		5
1		552		5
1		584		5
1		593		5
1		603		5
1		625		5
1		661		5
1		663		5
1		695		5
1		711		5
1		721		5
1		865		5
1		879		5
1		959		5
1		981		5
1		991		5
1		999		5
1		1155		5
1		1163		5
1		1186		5
1		1212		5
1		1219		5
1		1307		5
1		1338		5
1		1340		5
1		1361		5
1		1366		5
1		1380		5
1		36		4
1		57		4
1		66		4
1		85		4
1		104		4
1		110		4
1		145		4
1		160		4
1		163		4
1		211		4
1		269		4
1		292		4
